Unique Key,Created Date,Closed Date,Descriptor,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Address Type,City,Status,Resolution Action Updated Date,Community Board,Borough,Latitude,Longitude
16929632,06/23/2010 01:44:00 PM,07/21/2010 01:17:00 PM,"Taste/Odor, Bitter/Metallic (QA3)",10035.0,2283 3 AVENUE,3 AVENUE,E 124 ST,E 125 ST,ADDRESS,NEW YORK,Closed,07/21/2010 01:17:00 PM,11 MANHATTAN,MANHATTAN,40.802964191330275,-73.9359117351618
18626945,09/05/2010 04:48:00 PM,09/29/2010 12:00:00 AM,Other Water Problem (Use Comments) (QZZ),11237.0,175 STOCKHOLM STREET,STOCKHOLM STREET,WILSON AVE,KNICKERBOCKER AVE,ADDRESS,BROOKLYN,Closed,09/29/2010 12:00:00 AM,04 BROOKLYN,BROOKLYN,40.699780898797506,-73.92252283596254
18626946,09/05/2010 10:58:00 PM,10/03/2010 12:00:00 AM,"Taste/Odor, Musty/Stale (QA4)",11234.0,2357 EAST   74 STREET,EAST   74 STREET,AVENUE W,AVENUE X,ADDRESS,BROOKLYN,Closed,10/03/2010 12:00:00 AM,18 BROOKLYN,BROOKLYN,40.617061086698726,-73.90066122184753
18626947,09/05/2010 10:14:00 PM,09/29/2010 12:00:00 AM,"Taste/Odor, Musty/Stale (QA4)",11234.0,1432 EAST   66 STREET,EAST   66 STREET,AVENUE N,VETERANS AVE,ADDRESS,BROOKLYN,Closed,09/29/2010 12:00:00 AM,18 BROOKLYN,BROOKLYN,40.62008811603718,-73.91366403111387
18630390,09/06/2010 09:49:00 AM,09/07/2010 09:10:00 AM,Cloudy Or Milky Water (QB1),11212.0,259 EAST   91 STREET,EAST   91 STREET,WINTHROP ST,CLARKSON AVE,ADDRESS,BROOKLYN,Closed,09/07/2010 09:10:00 AM,17 BROOKLYN,BROOKLYN,40.65876755862815,-73.92528084623382
18630391,09/06/2010 05:17:00 PM,09/29/2010 12:00:00 AM,Other Water Problem (Use Comments) (QZZ),10312.0,101 RETFORD AVENUE,RETFORD AVENUE,OAKDALE ST,SYCAMORE ST,ADDRESS,STATEN ISLAND,Closed,09/29/2010 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,40.539713696154045,-74.16312803702493
18630392,09/06/2010 11:36:00 AM,09/07/2010 08:55:00 AM,"Taste/Odor, Chlorine (QA1)",11223.0,1795 WEST   10 STREET,WEST   10 STREET,KINGS HIGHWAY,HIGHLAWN AVE,ADDRESS,BROOKLYN,Closed,09/07/2010 08:55:00 AM,11 BROOKLYN,BROOKLYN,40.60343911501892,-73.98266725079988
18630393,09/06/2010 06:52:00 PM,09/29/2010 12:00:00 AM,"Taste/Odor, Sewer (QA5)",11234.0,1337 EAST   52 STREET,EAST   52 STREET,FLATLANDS AVE,AVENUE K,ADDRESS,BROOKLYN,Closed,09/29/2010 12:00:00 AM,18 BROOKLYN,BROOKLYN,40.6269832532788,-73.92577034588669
18634900,09/07/2010 05:38:00 AM,09/07/2010 11:05:00 AM,Cloudy Or Milky Water (QB1),10031.0,506 WEST  150 STREET,WEST  150 STREET,AMSTERDAM AVE,BROADWAY,ADDRESS,NEW YORK,Closed,09/07/2010 11:05:00 AM,09 MANHATTAN,MANHATTAN,40.828613202577465,-73.94583117275471
18634901,09/07/2010 04:02:00 PM,10/03/2010 12:00:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11237.0,358 GROVE STREET,GROVE STREET,IRVING AVE,WYCKOFF AVE,ADDRESS,BROOKLYN,Closed,10/03/2010 12:00:00 AM,04 BROOKLYN,BROOKLYN,40.70012066017272,-73.9139643112686
18634902,09/07/2010 01:08:00 PM,10/03/2010 12:00:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11417.0,106-21 79 STREET,79 STREET,GLENMORE AVE,PITKIN AVE,ADDRESS,Ozone Park,Closed,10/03/2010 12:00:00 AM,10 QUEENS,QUEENS,40.6776817775308,-73.85815156985227
18634904,09/07/2010 08:31:00 PM,09/08/2010 08:01:00 AM,"Taste/Odor, Chlorine (QA1)",11102.0,26-71 30 STREET,30 STREET,ASTORIA BLVD,NEWTOWN AVE,ADDRESS,Astoria,Closed,09/08/2010 08:01:00 AM,01 QUEENS,QUEENS,40.76992646727784,-73.91943029071874
18642921,09/08/2010 01:48:00 PM,10/03/2010 12:00:00 AM,"Taste/Odor, Chemical (QA2)",11234.0,1500 EAST   52 STREET,EAST   52 STREET,AVENUE L,AVENUE M,ADDRESS,BROOKLYN,Closed,10/03/2010 12:00:00 AM,18 BROOKLYN,BROOKLYN,40.62293716546132,-73.92536058239499
18642920,09/08/2010 03:24:00 PM,09/09/2010 11:25:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",,330 lafayette ST,lafayette ST,,,ADDRESS,,Closed,09/09/2010 11:25:00 AM,Unspecified BROOKLYN,BROOKLYN,,
18655408,09/09/2010 08:29:00 AM,10/03/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",10314.0,507 WEST CASWELL AVENUE,WEST CASWELL AVENUE,WILLOW RD W,FARRADAY ST,ADDRESS,STATEN ISLAND,Closed,10/03/2010 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,40.615950204377405,-74.15354594297627
18657921,09/10/2010 10:46:00 AM,10/03/2010 12:00:00 AM,"Taste/Odor, Sewer (QA5)",11415.0,83-33 118 STREET,118 STREET,83 AVE,CURZON RD,ADDRESS,Kew Gardens,Closed,10/03/2010 12:00:00 AM,09 QUEENS,QUEENS,40.706234413118565,-73.83460336481774
18657797,09/10/2010 11:00:00 AM,09/16/2010 08:37:00 AM,Other Water Problem (Use Comments) (QZZ),11423.0,94-11 199 STREET,199 STREET,JAMAICA AVE,DEAD END,ADDRESS,Hollis,Closed,09/16/2010 08:37:00 AM,12 QUEENS,QUEENS,40.713049590056364,-73.75977379223922
18657919,09/10/2010 12:00:00 PM,10/18/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",10029.0,2110 1 AVENUE,1 AVENUE,E 108 ST,E 109 ST,ADDRESS,NEW YORK,Closed,10/18/2010 12:00:00 AM,11 MANHATTAN,MANHATTAN,40.79136652591513,-73.93877951878147
18657920,09/10/2010 01:26:00 PM,09/18/2010 09:03:00 AM,"Taste/Odor, Musty/Stale (QA4)",11225.0,19 PALM COURT,PALM COURT,MAPLE ST,MIDWOOD ST,ADDRESS,BROOKLYN,Closed,09/18/2010 09:03:00 AM,09 BROOKLYN,BROOKLYN,40.66056082007289,-73.94665606397267
18667473,09/12/2010 03:59:00 PM,09/13/2010 07:41:00 AM,"Taste/Odor, Chemical (QA2)",11385.0,60-98 70 AVENUE,70 AVENUE,60 LN,FRESH POND RD,ADDRESS,Ridgewood,Closed,09/13/2010 07:41:00 AM,05 QUEENS,QUEENS,40.70250701854296,-73.89546663914611
16928980,06/23/2010 09:31:00 PM,07/01/2010 08:54:00 AM,Cloudy Or Milky Water (QB1),11249.0,117 SOUTH    3 STREET,SOUTH    3 STREET,BERRY ST,BEDFORD AVE,ADDRESS,BROOKLYN,Closed,07/01/2010 08:54:00 AM,01 BROOKLYN,BROOKLYN,40.71271790729786,-73.96305566969059
16929530,06/23/2010 11:21:00 AM,07/15/2010 12:00:00 AM,"Taste/Odor, Chemical (QA2)",11691.0,14-28 BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,NAMEOKE AVE,HORTON AVE,ADDRESS,Far Rockaway,Closed,07/15/2010 12:00:00 AM,14 QUEENS,QUEENS,40.60895469595205,-73.75387447317755
16938549,06/24/2010 09:05:00 AM,06/28/2010 09:33:00 AM,"Taste/Odor, Musty/Stale (QA4)",10031.0,100 HAMILTON PLACE,HAMILTON PLACE,W 141 ST,W 142 ST,ADDRESS,NEW YORK,Closed,06/28/2010 09:33:00 AM,09 MANHATTAN,MANHATTAN,40.823476943564216,-73.94992182054783
16938706,06/24/2010 11:18:00 AM,06/28/2010 09:33:00 AM,"Taste/Odor, Musty/Stale (QA4)",10031.0,100 HAMILTON PLACE,HAMILTON PLACE,W 141 ST,W 142 ST,ADDRESS,NEW YORK,Closed,06/28/2010 09:33:00 AM,09 MANHATTAN,MANHATTAN,40.823476943564216,-73.94992182054783
16946790,06/25/2010 09:14:00 AM,07/28/2010 12:00:00 AM,"Taste/Odor, Sewer (QA5)",11215.0,26 WEBSTER PLACE,WEBSTER PLACE,16 ST,PROSPECT AVE,ADDRESS,BROOKLYN,Closed,07/28/2010 12:00:00 AM,07 BROOKLYN,BROOKLYN,40.66281495998268,-73.98718621014358
16947416,06/25/2010 01:14:00 PM,07/28/2010 12:00:00 AM,Other Water Problem (Use Comments) (QZZ),11204.0,2383 65 STREET,65 STREET,W 3 ST,24 AVE,ADDRESS,BROOKLYN,Closed,07/28/2010 12:00:00 AM,11 BROOKLYN,BROOKLYN,40.61130474668603,-73.9772122946469
16947878,06/25/2010 03:13:00 PM,07/28/2010 12:00:00 AM,"Taste/Odor, Musty/Stale (QA4)",10456.0,530 EAST  169 STREET,EAST  169 STREET,3 AVE,FULTON AVE,ADDRESS,BRONX,Closed,07/28/2010 12:00:00 AM,03 BRONX,BRONX,40.832588336700724,-73.90469386987536
16948158,06/25/2010 06:16:00 PM,07/28/2010 12:00:00 AM,Cloudy Or Milky Water (QB1),10466.0,3957 SETON AVENUE,SETON AVENUE,E 233 ST,STRANG AVE,ADDRESS,BRONX,Closed,07/28/2010 12:00:00 AM,12 BRONX,BRONX,40.890244544504,-73.83694854259109
17530458,06/27/2010 02:10:00 PM,07/28/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",11206.0,269 MELROSE STREET,MELROSE STREET,CENTRAL AVE,WILSON AVE,ADDRESS,BROOKLYN,Closed,07/28/2010 12:00:00 AM,04 BROOKLYN,BROOKLYN,40.702052668866784,-73.92967561941876
17530496,06/27/2010 09:01:00 PM,07/28/2010 12:00:00 AM,"Taste/Odor, Musty/Stale (QA4)",10128.0,333 EAST   95 STREET,EAST   95 STREET,2 AVE,1 AVE,ADDRESS,NEW YORK,Closed,07/28/2010 12:00:00 AM,08 MANHATTAN,MANHATTAN,40.783199381967314,-73.94668058484632
17531679,06/26/2010 11:34:00 AM,07/28/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",10003.0,15 EAST   12 STREET,EAST   12 STREET,5 AVE,UNIVERSITY PL,ADDRESS,NEW YORK,Closed,07/28/2010 12:00:00 AM,02 MANHATTAN,MANHATTAN,40.73430569268547,-73.99368185133946
17531680,06/26/2010 11:36:00 AM,06/28/2010 11:28:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11208.0,1110 LIBERTY AVENUE,LIBERTY AVENUE,AUTUMN AVE,LINCOLN AVE,ADDRESS,BROOKLYN,Closed,06/28/2010 11:28:00 AM,05 BROOKLYN,BROOKLYN,40.67850093631515,-73.86841409886063
17531812,06/26/2010 02:56:00 PM,07/28/2010 12:00:00 AM,"Clear Water With Organisms (Insects, Worms) (QE2)",11358.0,43-16 168 STREET,168 STREET,43 AVE,45 AVE,ADDRESS,Flushing,Closed,07/28/2010 12:00:00 AM,07 QUEENS,QUEENS,40.757932402779744,-73.79867140585701
17537992,06/28/2010 01:28:00 PM,07/28/2010 12:00:00 AM,"Taste/Odor, Chemical (QA2)",10301.0,349 VICTORY BOULEVARD,VICTORY BOULEVARD,CEBRA AVE,AUSTIN PL,ADDRESS,STATEN ISLAND,Closed,07/28/2010 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,40.633565233009094,-74.08607958686555
17538246,06/28/2010 09:35:00 AM,06/30/2010 07:25:00 AM,Cloudy Or Milky Water (QB1),11106.0,34-20 34 STREET,34 STREET,34 AVE,35 AVE,ADDRESS,Astoria,Closed,06/30/2010 07:25:00 AM,01 QUEENS,QUEENS,40.758100534752174,-73.92523078276548
17538270,06/28/2010 10:06:00 AM,06/30/2010 09:27:00 AM,Cloudy Or Milky Water (QB1),11420.0,116-20 127 STREET,127 STREET,116 AVE,FOCH BLVD,ADDRESS,South Ozone Park,Closed,06/30/2010 09:27:00 AM,10 QUEENS,QUEENS,40.676676018227965,-73.81145559003001
17538288,06/28/2010 10:13:00 AM,07/28/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",11354.0,146-33 BAYSIDE AVENUE,BAYSIDE AVENUE,146 ST,148 ST,ADDRESS,Flushing,Closed,07/28/2010 12:00:00 AM,07 QUEENS,QUEENS,40.771006315490396,-73.82068001926186
18672396,09/13/2010 02:25:00 PM,09/14/2010 08:38:00 AM,Other Water Problem (Use Comments) (QZZ),11237.0,358 GROVE STREET,GROVE STREET,IRVING AVE,WYCKOFF AVE,ADDRESS,BROOKLYN,Closed,09/14/2010 08:38:00 AM,04 BROOKLYN,BROOKLYN,40.70012066017272,-73.9139643112686
18672397,09/13/2010 12:54:00 PM,10/17/2010 12:00:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",10026.0,444 MANHATTAN AVENUE,MANHATTAN AVENUE,W 118 ST,W 119 ST,ADDRESS,NEW YORK,Closed,10/17/2010 12:00:00 AM,10 MANHATTAN,MANHATTAN,40.806818780221256,-73.95550804060781
18672398,09/13/2010 12:07:00 PM,09/13/2010 02:02:00 PM,"Taste/Odor, Chemical (QA2)",10023.0,238 WEST   71 STREET,WEST   71 STREET,AMSTERDAM AVE,WEST END AVE,ADDRESS,NEW YORK,Closed,09/13/2010 02:02:00 PM,07 MANHATTAN,MANHATTAN,40.77845114320926,-73.9833510579515
18672399,09/13/2010 12:11:00 PM,09/14/2010 02:10:00 PM,"Taste/Odor, Chlorine (QA1)",10457.0,4451 3 AVENUE,3 AVENUE,E 181 ST,E 182 ST,ADDRESS,BRONX,Closed,09/14/2010 02:10:00 PM,06 BRONX,BRONX,40.85230942992579,-73.89260331571367
17548577,06/29/2010 12:00:00 AM,06/30/2010 10:27:00 AM,"Taste/Odor, Musty/Stale (QA4)",11212.0,60 EAST   93 STREET,EAST   93 STREET,DEAD END,RUTLAND RD,ADDRESS,BROOKLYN,Closed,06/30/2010 10:27:00 AM,17 BROOKLYN,BROOKLYN,40.66249333397121,-73.9270067970956
18672400,09/13/2010 04:15:00 PM,10/06/2010 12:00:00 AM,"Taste/Odor, Chlorine (QA1)",11249.0,97 SOUTH    8 STREET,SOUTH    8 STREET,BERRY ST,BEDFORD AVE,ADDRESS,BROOKLYN,Closed,10/06/2010 12:00:00 AM,01 BROOKLYN,BROOKLYN,40.7096718803011,-73.96517104561434
17556930,06/30/2010 11:24:00 AM,07/01/2010 08:24:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11421.0,,,ATLANTIC AVE,83 ST,INTERSECTION,Woodhaven,Closed,07/01/2010 08:24:00 AM,09 QUEENS,QUEENS,40.685485235994726,-73.85819987221812
17558215,06/30/2010 11:18:00 AM,07/01/2010 08:23:00 AM,"Taste/Odor, Bitter/Metallic (QA3)",11208.0,ATLANTIC AVE,ATLANTIC AVE,95 AVE,ELDERTS LN,INTERSECTION,QUEENS,Closed,07/01/2010 08:23:00 AM,05 QUEENS,QUEENS,40.68192091015421,-73.86602052379288
17563658,07/01/2010 11:36:00 AM,08/11/2010 12:00:00 AM,"Oil, Grease In Water (QD1)",11411.0,216-16 115 AVENUE,115 AVENUE,SPRINGFIELD BLVD,BEND,ADDRESS,Cambria Heights,Closed,08/11/2010 12:00:00 AM,13 QUEENS,QUEENS,40.70119503789984,-73.74085336743543
17563695,07/01/2010 02:04:00 PM,07/28/2010 12:00:00 AM,"Taste/Odor, Chemical (QA2)",10038.0,215 PARK ROW,PARK ROW,PEARL ST,CHATHAM SQ,ADDRESS,NEW YORK,Closed,07/28/2010 12:00:00 AM,03 MANHATTAN,MANHATTAN,40.7132645519845,-73.99941563850649
17563698,07/01/2010 02:06:00 PM,07/02/2010 11:02:00 AM,Clear Water With Other Particles (Use Comments) (QEZ),11367.0,61-18 157 STREET,157 STREET,HORACE HARDING EXPY,65 AVE,ADDRESS,Flushing,Closed,07/02/2010 11:02:00 AM,08 QUEENS,QUEENS,40.73815875682136,-73.81138986512161
17563707,07/01/2010 02:26:00 PM,07/02/2010 10:26:00 AM,Cloudy Or Milky Water (QB1),11373.0,53-31 80 STREET,80 STREET,GRAND AVE,54 AVE,ADDRESS,Elmhurst,Closed,07/02/2010 10:26:00 AM,04 QUEENS,QUEENS,40.73126408869854,-73.88419658239775
17565144,07/01/2010 06:25:00 PM,07/02/2010 10:20:00 AM,Cloudy Or Milky Water (QB1),10033.0,180 PINEHURST AVENUE,PINEHURST AVENUE,HUDSON VIEW GARDENS,WEST 187 ST,ADDRESS,NEW YORK,Closed,07/02/2010 10:20:00 AM,12 MANHATTAN,MANHATTAN,40.85431627998634,-73.9381468208858
17571356,07/02/2010 08:31:00 AM,07/06/2010 08:12:00 AM,"Taste/Odor, Chemical (QA2)",11211.0,20 JUDGE STREET,JUDGE STREET,POWERS ST,DEVOE ST,ADDRESS,BROOKLYN,Closed,07/06/2010 08:12:00 AM,01 BROOKLYN,BROOKLYN,40.713482446275,-73.94043100003461
17571627,07/02/2010 01:11:00 PM,07/02/2010 01:11:00 PM,"Taste/Odor, Musty/Stale (QA4)",11354.0,150-46 26 AVENUE,26 AVENUE,MURRAY LN,MURRAY ST,ADDRESS,Flushing,Closed,07/03/2010 12:00:00 AM,07 QUEENS,QUEENS,40.7742227972439,-73.81353705041562
17572270,07/02/2010 10:54:00 AM,07/06/2010 09:32:00 AM,Defective Water Sampling Station (QSS),10471.0,,,RIVERDALE AVE,W 260 ST,INTERSECTION,BRONX,Closed,07/06/2010 09:32:00 AM,08 BRONX,BRONX,40.90843715231185,-73.90367341887905
17582180,07/05/2010 08:01:00 AM,07/12/2010 01:43:00 PM,Clear Water With Other Particles (Use Comments) (QEZ),10467.0,743 EAST  220 STREET,EAST  220 STREET,WHITE PLAINS RD,BARNES AVE,ADDRESS,BRONX,Closed,07/12/2010 01:43:00 PM,12 BRONX,BRONX,40.883878288804276,-73.86112192275971
17589317,07/06/2010 03:40:00 PM,07/07/2010 10:31:00 AM,Cloudy Or Milky Water (QB1),10026.0,1851 7 AVENUE,7 AVENUE,WEST 112 ST,WEST 113 ST,ADDRESS,NEW YORK,Closed,07/07/2010 10:31:00 AM,10 MANHATTAN,MANHATTAN,40.80118875268313,-73.95399117915053
17591272,07/06/2010 09:57:00 AM,08/11/2010 12:00:00 AM,"Oil, Grease In Water (QD1)",11363.0,43-60 DOUGLASTON PARKWAY,DOUGLASTON PARKWAY,235 ST,44 AVE,ADDRESS,Little Neck,Closed,08/11/2010 12:00:00 AM,11 QUEENS,QUEENS,40.76677361196645,-73.74606747320736
17591416,07/06/2010 11:09:00 AM,08/11/2010 12:00:00 AM,Other Water Problem (Use Comments) (QZZ),10017.0,799 UNITED NATIONS PLAZA,UNITED NATIONS PLAZA,EAST 44 ST,EAST 45 ST,ADDRESS,NEW YORK,Closed,08/11/2010 12:00:00 AM,06 MANHATTAN,MANHATTAN,40.75056697342369,-73.96858200416852
17592202,07/06/2010 09:44:00 AM,07/06/2010 10:30:00 AM,Defective Water Sampling Station (QSS),10128.0,10 EAST   95 STREET,EAST   95 STREET,PARK AVE,LEXINGTON AVE,ADDRESS,NEW YORK,Closed,07/06/2010 10:30:00 AM,08 MANHATTAN,MANHATTAN,40.787010177501436,-73.95577767046719
17592262,07/06/2010 10:49:00 AM,07/07/2010 07:15:00 AM,"Taste/Odor, Chemical (QA2)",,,,DOUGLASTON PKWY,235 ST,INTERSECTION,,Closed,07/07/2010 07:15:00 AM,Unspecified QUEENS,QUEENS,,
17599054,07/07/2010 08:10:00 AM,08/11/2010 12:00:00 AM,"Taste/Odor, Chemical (QA2)",10452.0,1479 MACOMBS ROAD,MACOMBS ROAD,CROMWELL AVE,CROMWELL AVE,ADDRESS,BRONX,Closed,08/11/2010 12:00:00 AM,04 BRONX,BRONX,40.841848991950336,-73.91906128054971
17599105,07/07/2010 11:16:00 AM,07/08/2010 01:24:00 PM,Other Water Problem (Use Comments) (QZZ),11414.0,159-04 84 STREET,84 STREET,159 AVE,160 AVE,ADDRESS,Howard Beach,Closed,07/08/2010 01:24:00 PM,10 QUEENS,QUEENS,40.657670605753566,-73.84820336473405
